Formula_ID,Notes,rHDPE (%),Virgin HDPE (%),Filler_1,F1_Content (%),F1_Supplier,F1_Functional Class,Filler_2,F2_Content (%),F2_Supplier,F2_Functional Class,Filler_3,F3_Content (%),F3_Supplier,F3_Functional Class,Additive_1,A1_Content (%),A1_Supplier,A1_Functional Class,Additive_2,A2_Content (%),A2_Supplier,A2_Functional Class,Additive_3,A3_Content (%),A3_Supplier,A3_Functional Class,Density (g/cc),Shore hardness (D),Melt Flow Index (g/10 min),Intrinsic Viscosity (dL/g),Tensile Strength (MPa),Young's Modulus (GPa),Elongation at Break (%),Impact Strength (kJ/m²),Haze (%),Crystallinity (%),Glass Transition Temp (°C),Melting Temp (°C),Degradation Temp (°C),OIT @200°C (min),WVTR (g/m²/day),OTR (cc/m²/day),Shrinkage (ASTM D955) (%),FTIR Peak 1 (cm⁻¹),FTIR Peak 2 (cm⁻¹),Cost ($/kg),Cost ($/lb),CO2 Equivalent (kg CO2/kg),kg produced annually,Processing Recommendations,F1_Safety,F2_Safety,F3_Safety,A1_Safety,A2_Safety,A3_Safety,Safety Summary
rHDPE_0001,Generated,77.399,22.38,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.071,BASF,primary_antioxidant,,0.0,,,0.95051,69.3,10.1815,0.5319,25.159,1.059,1256.2,8.073,97.0,62.41,-122.7,130.4,369.7,17.5,0.35,250.0,2.241,2915,2848,1.206,0.547,0.808,"3,746,818,434","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0002,Generated,61.299,30.426,Talc,8.125,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,,0.0,,,,0.0,,,0.951,70.6,9.2897,0.5372,27.329,1.1038,1648.5,7.884,100.0,64.91,-118.7,131.3,375.7,15.4,0.3251,225.88,2.431,2915,2848,1.125,0.511,0.983,"246,153,846","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces.
rHDPE_0003,Generated,77.189,19.321,Talc,3.252,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.088,BASF,secondary_antioxidant,,0.0,,,0.95339,69.6,11.9128,0.528,30.156,1.1249,1408.7,8.0,96.8,62.86,-120.5,131.4,355.8,14.0,0.3401,240.25,2.262,2915,2848,1.178,0.534,0.879,"615,006,150","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0004,Generated,58.879,22.224,Talc,18.657,Imerys,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.09,BASF,primary_antioxidant,,0.0,,,0.95397,66.6,9.1576,0.5307,29.795,1.3268,1545.7,7.604,96.3,57.94,-116.9,129.7,352.6,19.6,0.292,195.74,1.644,2915,2848,1.058,0.48,1.219,"107,198,371","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Mineral dust; PPE; choose low-impurity grades.,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Talc: Mineral dust; PPE; choose low-impurity grades. | Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0005,Generated,92.258,7.442,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.079,BASF,secondary_antioxidant,Irganox 1076,0.071,BASF,primary_antioxidant,0.95372,68.3,10.9881,0.5277,27.918,1.0428,1417.2,8.073,98.6,60.39,-114.2,128.6,367.3,18.4,0.35,250.0,2.039,2915,2848,1.219,0.553,0.811,"3,143,358,842","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,Avoid dust inhalation; food-contact grades available.,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0006,Generated,78.847,20.874,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1076,0.129,BASF,primary_antioxidant,,0.0,,,0.95486,70.2,8.0459,0.5409,28.409,1.0721,1522.2,8.073,94.5,63.61,-121.1,130.6,353.9,14.8,0.35,250.0,2.361,2915,2848,1.214,0.551,0.811,"3,678,009,309","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Avoid dust inhalation; food-contact grades available.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1076: Avoid dust inhalation; food-contact grades available.
rHDPE_0007,Generated,69.069,30.655,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irganox 1010,0.126,BASF,primary_antioxidant,,0.0,,,0.95053,68.7,11.3667,0.5276,25.995,1.0508,1424.3,8.073,96.0,61.25,-122.7,131.8,382.3,19.8,0.35,250.0,2.125,2915,2848,1.211,0.549,0.811,"4,198,699,851","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Phenolic AO; low volatility; PPE for powders.,,Slip (Erucamide): May bloom; slippery surfaces. | Irganox 1010: Phenolic AO; low volatility; PPE for powders.
rHDPE_0008,Generated,61.155,34.486,Calcium Carbonate,3.97,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.239,BASF,secondary_antioxidant,,0.0,,,0.95251,65.7,11.0106,0.523,26.434,1.12,1472.3,8.038,92.1,55.74,-118.9,129.1,380.6,15.6,0.3425,244.98,1.545,2915,2848,1.468,0.666,0.901,"503,778,338","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0009,Generated,74.122,25.548,,0.0,,,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.18,BASF,secondary_antioxidant,,0.0,,,0.95219,68.2,8.484,0.5355,26.69,1.0225,1553.0,8.073,92.3,60.18,-122.5,128.9,352.5,17.5,0.35,250.0,2.018,2915,2848,1.209,0.548,0.812,"3,912,468,633","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow).",,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
rHDPE_0010,Generated,76.149,8.33,Calcium Carbonate,15.134,Omya,mineral_filler,,0.0,,,,0.0,,,Slip (Erucamide),0.15,Generic,slip,Irgafos 168,0.237,BASF,secondary_antioxidant,,0.0,,,0.9527,69.5,11.0967,0.5301,28.713,1.1883,1406.7,7.929,100.0,63.07,-120.8,129.9,375.8,18.3,0.3197,229.71,2.188,2915,2848,2.206,1.001,1.147,"132,152,769","Compounding: 34–44 L/D twin‑screw, melt 180–210 °C, vacuum venting; 60–80 mesh melt filter; residence ≤3 min. rHDPE handling: screen for PVC; dry if odor/moisture present (70–80 °C, 1–2 h). Injection molding: melt 190–220 °C; mold 20–40 °C; moderate pack/hold; expect 1.2–2.8% shrink (flow). Minerals/platelets: ensure dispersion; check die pressure; plate-like fillers improve barrier but reduce impact.",Dust; food-contact grades available.,,,May bloom; slippery surfaces.,Hydrolysis-sensitive; keep dry; PPE.,,Calcium Carbonate: Dust; food-contact grades available. | Slip (Erucamide): May bloom; slippery surfaces. | Irgafos 168: Hydrolysis-sensitive; keep dry; PPE.
