elastomer_name,elastomer_wtpct,filler_name,filler_wtpct,talc_name,talc_wtpct,compat_name,compat_wtpct,intune_name,intune_wtpct,stabilizer_name,stabilizer_wtpct,nucleator_name,nucleator_ppm,baseA_name,baseA_wtpct,baseB_name,baseB_wtpct,compat_score,compat_notes,est_cost_usd_per_kg,est_ef_kgCO2e_per_kg,est_biogenic_mass_frac,N_rps,Tm_C,Q_kgh,Torque_Nm,mode,E_GPa,MFI_g10min,sigma_y_MPa,Izod_23_kJm2,Izod_m20_kJm2,HDT_C,Shrink_pct,rho_gcc,eps_y_pct,Gardner_J,Xc,phi_el,phi_f_talc,phi_f_caco3,phi_f_biofiber,phi_f_biochar,tau_s,pvac_bar_abs,E_GPa_score,MFI_g10min_score,sigma_y_MPa_score,Izod_23_kJm2_score,Izod_m20_kJm2_score,HDT_C_score,rho_gcc_score,Xc_score,literature_consistency_score,realism_penalty,recommended_bo_weight,confidence,evaluation_status,eps_y_pct_score,Gardner_J_score
PBAT (impact modifier),26.19,"Talc (e.g., Mistron®)",17.32,,0.0,,1.5,,0.0,Generic AO/UV Package,0.21,,0,PLA (general-purpose),47.31,PHB (homopolymer),8.97,0.0,Penalty: polyester/PLA ↔ polyester/PHA-PHB benefits from compatibilizer; Penalty: polyester/PLA ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,2.18,2.74,0.563,5.0,220.0,5.0,50.0,focus_none,0.5173981953173445,14.662385601050351,20.05251388144801,51.51829705643316,8.83563368618794,68.96095728574807,,1.0025476434236371,10.92499025515776,50.59185611004104,0.3447204379259621,0.3007987487829655,0.0633611573949914,0.0,0.0,0.0,45.0,0.1,0.4,0.9,0.8,0.9,0.8,0.4,0.9,0.8,0.6,0.5,0.195,Medium,success,,
PBAT (impact modifier),21.18,"Talc (e.g., Mistron®)",12.43,,0.0,,1.5,,0.0,Generic AO/UV Package,0.24,,0,PHA (copolymer grade),60.89,PLA (general-purpose),5.27,0.139,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer,2.678,3.22,0.662,5.0,220.0,5.0,50.0,focus_none,0.647379989142313,6.501538859007277,20.74328771305475,48.90362990071643,8.387205797084507,75.5473003247151,,0.9703368421736932,9.294382511951929,43.07316550875346,0.3676034093211852,0.2354188305108996,0.0440069285208864,0.0,0.0,0.0,45.0,0.1,0.2,0.6,0.7,0.8,0.8,0.2,,,0.4,0.5,0.2,High,success,,
PBAT (impact modifier),15.45,"CaCO3 (e.g., Omyacarb®)",18.2,,0.0,,1.5,,0.0,Generic AO/UV Package,0.22,,0,PLA (general-purpose),0.95,PHB (homopolymer),65.17,0.0,Penalty: polyester/PLA ↔ polyester/PHA-PHB benefits from compatibilizer; Penalty: polyester/PLA ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,3.607,2.948,0.661,5.0,220.0,5.0,50.0,focus_none,0.8371172669010889,3.336235972694743,21.397444860873048,45.12496005441162,7.739145894281017,82.3177304088606,,1.0149194368539052,7.509232716184536,36.66027938862319,0.3871208888172338,0.179654603379332,0.0,0.0671599577757867,0.0,0.0,45.0,0.1,0.6,0.6,0.9,0.8,0.8,0.9,1.0,0.9,0.7,0.8,0.364,Medium,success,,
PBAT (impact modifier),23.95,"Talc (e.g., Mistron®)",16.93,,0.0,,1.5,,0.0,Generic AO/UV Package,0.36,,0,PHA (copolymer grade),56.0,PLA (general-purpose),2.76,0.139,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer,2.52,3.21,0.588,5.0,220.0,5.0,50.0,focus_none,0.5737076823797581,6.252716162962986,20.3374493927988,50.69342908704657,8.694164894838215,71.83450342664521,,1.0010006924910813,10.251171735625793,47.584444464355144,0.353873429891093,0.2746473431683056,0.0618388678119832,0.0,0.0,0.0,45.0,0.1,0.1,0.8,0.9,0.9,0.8,0.4,0.9,,0.5,0.6,0.3,High,success,,
PBAT (impact modifier),24.78,"CaCO3 (e.g., Omyacarb®)",13.91,,0.0,,1.5,,0.0,Generic AO/UV Package,0.21,,0,PHB (homopolymer),39.53,PHA (copolymer grade),21.58,0.2,Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,3.184,3.345,0.611,5.0,220.0,5.0,50.0,focus_none,0.5597493187685301,4.015717092334864,20.28420737493566,50.76273341378353,8.706050917453538,71.27120175073438,,0.9790019503095414,10.369648144790691,47.957692996188946,0.3527374560985554,0.277892982575556,0.0,0.0495031196054184,0.0,0.0,45.0,0.1,0.5,0.7,0.9,0.6,0.6,0.8,,,0.6,0.7,0.273,Medium,success,,
PBAT (impact modifier),24.37,"Talc (e.g., Mistron®)",10.81,,0.0,,1.5,,0.0,Generic AO/UV Package,0.27,,0,PHB (homopolymer),23.74,PHA (copolymer grade),40.81,0.2,Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,3.072,3.418,0.645,5.0,220.0,5.0,50.0,focus_none,0.5662776572095426,4.744878844124593,20.38100343634387,50.33016857342703,8.631863984008751,71.90073078340652,,0.9578763719417652,10.179972783528552,46.75376820008471,0.3564015750432204,0.2674240713050844,0.0377837751530395,0.0,0.0,0.0,45.0,0.1,0.1,0.7,0.9,0.9,0.6,0.2,0.9,,0.4,0.7,0.28,High,success,,
PBAT (impact modifier),22.45,"Talc (e.g., Mistron®)",13.48,,0.0,,1.5,,0.0,Generic AO/UV Package,0.25,,0,PLA (general-purpose),10.86,PHA (copolymer grade),52.96,0.139,Penalty: polyester/PLA ↔ polyester/PHA-PHB benefits from compatibilizer; Penalty: polyester/PLA ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,2.571,3.163,0.638,5.0,220.0,5.0,50.0,focus_none,0.6137651711639491,7.243479379287006,20.574597312878986,49.698594106565665,8.523545950347355,73.9680450738445,,0.9770062808781244,9.700298500758423,44.8966200670993,0.362053765013176,0.2512749571052113,0.0480570869047148,0.0,0.0,0.0,45.0,0.1,0.1,0.8,0.7,0.7,0.8,0.1,0.5,,0.4,0.3,0.12,High,success,,
PBAT (impact modifier),21.54,"Talc (e.g., Mistron®)",10.3,,0.0,,1.5,,0.0,Generic AO/UV Package,0.2,,0,PHB (homopolymer),46.42,PLA (general-purpose),21.54,0.0,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer,3.282,3.096,0.68,5.0,220.0,5.0,50.0,focus_none,0.6375674915469849,5.73736340052149,20.72593479825423,48.884719065622456,8.38396249866167,75.26299849769194,,0.955718030661701,9.349709749354036,43.12119525434872,0.3674572318345909,0.2358364804725975,0.0359200719424029,0.0,0.0,0.0,45.0,0.1,0.7,0.6,0.9,0.9,0.8,0.8,0.8,0.9,0.83,0.7,0.37765,Medium,success,1.0,0.9
PBAT (impact modifier),14.07,"CaCO3 (e.g., Omyacarb®)",11.44,,0.0,,1.5,,0.0,Generic AO/UV Package,0.32,,0,PLA (general-purpose),47.22,PHA (copolymer grade),26.94,0.139,Penalty: polyester/PLA ↔ polyester/PHA-PHB benefits from compatibilizer; Penalty: polyester/PLA ↔ filler/unspecified benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,2.468,2.551,0.742,5.0,220.0,5.0,50.0,focus_none,0.8631682732643364,12.643515337944269,21.62138812732655,42.514499833737034,7.291439514604288,83.82143665994562,,0.9671950196117312,7.022875804679882,33.93016497767866,0.3954299326766302,0.1559144780667709,0.0,0.040229768422309,0.0,0.0,45.0,0.1,0.9,1.0,1.0,0.95,0.9,0.85,1.0,,0.95,1.0,0.95,High,success,,
PBAT (impact modifier),13.62,"CaCO3 (e.g., Omyacarb®)",19.93,,0.0,,1.5,,0.0,Generic AO/UV Package,0.3,,0,PHB (homopolymer),29.69,PLA (general-purpose),36.47,0.0,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/unspecified benefits from compatibilizer,2.746,2.435,0.662,5.0,220.0,5.0,50.0,focus_none,0.9067987744510476,8.730197533228651,21.621053308974503,43.26353274009257,7.4199022309128,84.49478539450901,,1.0291687497928292,6.874511826377673,34.46521035618565,0.3938015336985654,0.1605670465755273,0.0,0.0745616947319501,0.0,0.0,45.0,0.1,,,,,,,,,0.1,0.1,0.0,Error,failed,,
PBAT (impact modifier),25.13,Hemp Fiber,7.18,,0.0,,1.5,,0.0,Generic AO/UV Package,0.42,,0,PHB (homopolymer),50.91,PLA (general-purpose),16.36,0.0,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/fiber benefits from compatibilizer,3.548,3.339,0.744,5.0,220.0,5.0,50.0,focus_none,0.5561548881427288,5.027152623163717,20.385761253218902,50.054141574977486,8.584524037132661,71.75195989149958,,0.9146819498405792,10.169155230410269,46.28279414528333,0.357834974340442,0.2633286447415942,0.0,0.0,0.0446231792074425,0.0,45.0,0.1,0.2,0.8,0.9,0.7,0.85,0.4,,,0.55,0.5,0.55,High,success,,
PBAT (impact modifier),15.97,Hemp Fiber,1.38,,0.0,,1.5,,0.0,Generic AO/UV Package,0.23,,0,PHA (copolymer grade),45.99,PLA (general-purpose),36.44,0.139,Penalty: polyester/PHA-PHB ↔ polyester/PLA benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/fiber benefits from compatibilizer,2.861,3.001,0.838,5.0,220.0,5.0,50.0,focus_none,0.7805314534716966,10.02153536459956,21.459148034548527,43.15374771475073,7.401073575394804,81.71549611586512,,0.8985506546465478,7.5629929185618,34.903318092055514,0.3924681623285267,0.1643766790613522,0.0,0.0,0.0084245133206664,0.0,45.0,0.1,0.8,1.0,1.0,1.0,0.9,0.9,1.0,1.0,0.9,1.0,0.9,High,success,,
PBAT (impact modifier),11.5,Flax Fiber,5.27,,0.0,,1.5,,0.0,Generic AO/UV Package,0.45,,0,PHB (homopolymer),44.47,PHA (copolymer grade),38.31,0.2,Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ filler/fiber benefits from compatibilizer; Penalty: polyester/PHA-PHB ↔ polyester/PBAT benefits from compatibilizer,3.913,3.191,0.88,5.0,220.0,5.0,50.0,focus_none,0.9147382592556298,4.287802195754532,21.96526050797058,37.35331554559825,6.406271790466391,86.2841865130406,,0.9138810014854788,6.232294186093774,29.845888698184737,0.4078603387446551,0.1203990321581281,0.0,0.0,0.0327239876190145,0.0,45.0,0.1,,,,,,,,,0.1,0.1,0.0,Error,failed,,
